STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DSND,DT32,DX32,PRCP,SNOW,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-01,4,25,3,2.44,1.4,42.5,27.2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-02,15,26,5,3.13,14.1,40.7,24.5
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-03,5,16,2,3.36,2.9,50.5,35.2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-04,0,7,0,2.11,0,61.8,42.4
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-05,0,0,0,6.89,0,67.1,50.1
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-06,0,0,0,5.07,0,82.5,62.3
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-07,0,0,0,6.81,0,81.9,66.5
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-08,0,0,0,4.02,0,81.8,66.2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-09,0,0,0,1.51,0,77.3,60
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-10,0,1,0,4.82,0,64.9,44.8
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-11,0,8,0,7.03,0,55.5,39.4
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1990-12,6,21,8,2.26,3.5,38.6,23.2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1991-01,31,31,18,1.42,11.4,30.2,16.9
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1991-02,7,21,7,0.63,5.1,40.4,26.2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1991-03,4,17,1,3.51,6.9,51.4,34.1
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1991-04,0,1,0,5.82,0,63.3,46.2
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1991-05,0,0,0,5.52,0,78.2,59.4
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1991-06,0,0,0,1.11,0,84.3,65.6
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1991-07,0,0,0,1.36,0,88.2,68.3
