STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DSND,DT32,DX32,PRCP,SNOW,TMAX,TMIN
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-01,6,22,3,2.35,10.6,43,28.6
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-02,9,22,4,4.7,9.9,42.7,25.6
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-03,1,17,2,0.87,4.4,50.6,33.3
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-04,3,10,0,4.57,4.7,60,38.7
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-05,0,0,0,6.1,0,66.1,46.5
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-06,0,0,0,1.73,0,77.4,57.8
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-07,0,0,0,5.63,0,80.2,62.2
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-08,0,0,0,4.79,0,78.4,61.1
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-09,0,0,0,7.33,0,72.1,54.6
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-10,0,1,0,4.92,0,63.6,43.9
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-11,0,10,0,2.28,0,54.3,36.2
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1990-12,6,23,5,8.59,7.4,44,27.2
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-01,11,30,12,2.19,16.6,34.4,20.1
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-02,10,20,7,2.31,18.9,40.1,25.4
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-03,2,18,0,3.64,4.3,49.2,32.2
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-04,0,3,0,4.22,0,61.5,43.7
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-05,0,0,0,3.24,0,77.3,56.4
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-06,0,0,0,1.37,0,81.5,60.6
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-07,0,0,0,1.69,0,85.3,64
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-08,0,0,0,2.8,0,83.1,62.1
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-09,0,0,0,3.41,0,74.6,54.4
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-10,0,2,0,2.66,0,65.2,46.1
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-11,2,15,3,2.92,3.5,47.2,33.2
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1991-12,8,21,5,2.26,9.5,42.1,27.5
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-01,16,24,9,3.32,23.8,36.5,23.8
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-02,6,21,5,2.65,6.3,39.7,25.6
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-03,9,22,5,3.06,18.4,45.7,27.5
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-04,2,8,0,3.77,4.4,57.2,38.6
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-05,0,0,0,3.01,0,68.7,47
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-06,0,0,0,2.66,0,74.2,54
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-07,0,0,0,9.13,0,79.1,62.3
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-08,0,0,0,4.58,0,77,58.2
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-09,0,0,0,3.26,0,73,53.5
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-10,0,6,0,2.27,0,59.7,40
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-11,2,10,0,6.55,7.1,47.8,36.1
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1992-12,6,22,6,4.32,7.1,40,28.1
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-01,9,26,7,4.44,8.7,38.5,26
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-02,18,28,13,2.61,39.1,33.4,17.7
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-03,17,18,5,3.85,25.5,40.2,26.9
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-04,1,8,0,3.16,1.1,57.5,37.6
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-05,0,0,0,1.56,0,70.3,48
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-06,0,0,0,5.18,0,77.2,58.5
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-07,0,0,0,2.58,0,84.6,65.3
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-08,0,0,0,1.52,0,83.5,62.8
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-09,0,0,0,5.94,0,70.6,53.8
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-10,0,2,0,3.52,0.2,61.6,41
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,1993-11,2,12,0,4.06,3,49.3,34.2
