STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DSND,DT32,DX32,PRCP,SNOW,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-01,12,29,4,1.43,11.3,40.8,22.5
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-02,10,25,7,0.89,7.4,41.8,20.4
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-03,0,17,1,5.83,0.1,51.2,32.8
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-04,0,9,0,3.43,0,60.9,39.1
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-05,0,0,0,4.36,0,68,47.7
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-06,0,0,0,9.52,0,81,62.2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-07,0,0,0,8.75,0,82.3,65.2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-08,0,0,0,1.83,0,83.8,64.9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-09,0,0,0,1.4,0,79,57.2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-10,0,6,0,1.8,0,64.4,40.2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-11,1,17,1,2.52,1.3,54.6,32.8
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1990-12,11,30,13,2.19,12.2,31.3,14.4
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-01,31,31,23,0.95,9.9,25.3,8.1
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-02,2,25,5,0.17,0.4,44.3,22.7
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-03,0,18,0,3.91,0.2,53.5,31.4
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-04,0,3,0,7.54,0,63.9,43.2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-05,0,0,0,7.89,0,75.5,57.9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-06,0,0,0,2.87,0,84.2,65.3
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-07,0,0,0,1.14,0,86.4,65.7
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-08,0,0,0,3.65,0,83.9,63.5
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-09,0,0,0,0.91,0,77.1,52.9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-10,0,8,0,4.97,0,63.7,41.2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-11,16,23,9,3.62,14.7,39.2,22.5
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1991-12,2,29,8,2.2,1.3,38.6,22.7
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1992-01,3,28,8,0.97,1.9,39.8,21.6
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",41.53395,-93.65313,286.3,1992-02,2,25,4,2.13,4.5,43,26.7
