STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DSND,DT32,DX32,PRCP,SNOW,TMAX,TMIN
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-01,6,31,1,0.27,5.9,46,15.1
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-02,3,28,6,0.18,1.9,44.1,17.6
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-03,4,22,2,1.75,5.3,52.6,27.3
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-04,0,15,0,1.52,0.3,62.5,34.5
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-05,0,3,0,3.65,0,69.1,44.3
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-06,0,0,0,1.9,0,86.1,56.1
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-07,0,0,0,2,0,88,59.4
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-08,0,0,0,1.79,0,89,59
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-09,0,1,0,0.31,0,84.8,50.3
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-10,1,14,0,1.48,2,68.2,32.2
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-11,11,26,2,0.87,9.7,53.9,22.2
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1990-12,1,31,13,0.09,0.8,35.2,8.6
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-01,11,31,11,0.35,4.1,36.3,9.9
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-02,1,28,1,0.21,1.1,54.8,20.1
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-03,2,28,1,0.99,5.6,55.7,25.3
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-04,0,6,0,3,0,61.5,37.2
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-05,0,3,0,5.4,0,73.7,50
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-06,0,0,0,2.78,0,82.7,59.3
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-07,0,0,0,1.81,0,89.2,60.5
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-08,0,0,0,0.54,0,88.4,58.9
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-09,0,2,0,1.75,0,78.9,48.2
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-10,1,16,3,2.14,7.3,65.7,31.1
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-11,7,29,5,0.92,1.6,44.5,19.9
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1991-12,2,30,2,0.67,1.8,46.3,20.5
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-01,6,31,2,0.89,5.4,44.8,19.4
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-02,2,27,1,1.43,1.2,50.6,24
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-03,4,23,0,2.98,5.1,55.4,28
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-04,0,12,0,0.18,0.3,65.4,35.8
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-05,0,2,0,3.17,0,73.2,44
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-06,0,0,0,2.61,0,77.3,54
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-07,0,0,0,3.75,0,81.3,55.7
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-08,0,0,0,6.31,0,79,54
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-09,0,1,0,0.25,0,79.1,46.8
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-10,0,11,0,0.93,0,65.6,34.1
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-11,4,26,4,0.2,2.2,42.9,21.9
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1992-12,10,31,15,0.33,3.9,34.6,10.5
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1993-01,23,31,20,0.75,10.1,29.6,7.2
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1993-02,18,28,15,1.37,17.2,29.7,6.2
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1993-03,10,25,4,0.62,2.7,48.7,25.3
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1993-04,1,13,0,1.8,2,57.9,33
USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.12199,-100.66895,841.9,1993-05,0,2,0,2.47,0,71.8,45.6
