PRHUNT,ZOHUNT,AOU,YEAR,A-F,A-M,A-NA,A-U,I-F,I-M,I-NA,I-U,NA-M,NA-NA,NA-U,U-F,U-M,U-NA,U-U
,NA,1290,1991,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,NA,1290,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,NA,1290,1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1290,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1290,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,1290,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1290,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,1290,2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1300,1991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1300,1998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1300,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1300,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1310,1998,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,NA,1310,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,1310,2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,NA,1310,2004,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
,NA,1310,2006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,NA,1320,1991,5,14,0,0,14,5,0,0,0,0,0,0,0,0,1
,NA,1320,1992,4,4,0,0,9,9,0,0,0,0,0,0,0,0,1
,NA,1320,1993,1,0,0,0,1,2,0,0,0,0,0,0,0,0,4
,NA,1320,1994,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
,NA,1320,1995,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
,NA,1320,1996,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0
,NA,1320,1997,0,4,0,0,5,3,0,2,0,0,0,0,0,0,1
,NA,1320,1998,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
,NA,1320,1999,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0
,NA,1320,2000,1,1,0,0,6,14,0,0,0,0,0,0,0,0,1
,NA,1320,2001,0,2,0,1,6,13,0,0,0,0,0,0,0,0,0
,NA,1320,2002,1,5,0,0,7,3,0,0,0,0,0,0,0,0,0
,NA,1320,2003,2,2,0,0,4,15,0,0,0,0,0,0,0,0,0
,NA,1320,2004,1,1,0,0,3,8,0,0,0,0,0,0,0,0,0
,NA,1320,2005,1,5,0,0,8,5,0,0,0,0,0,0,0,0,0
,NA,1320,2006,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,NA,1321,1991,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
,NA,1321,1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1321,1993,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,NA,1321,2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1321,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1330,1991,2,1,0,1,5,14,0,0,0,0,0,0,0,0,1
,NA,1330,1992,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0
,NA,1330,1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1330,1994,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
,NA,1330,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1330,1997,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
,NA,1330,1998,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,NA,1330,1999,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0
,NA,1330,2000,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
,NA,1330,2001,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
,NA,1330,2002,1,0,0,1,1,10,0,0,0,0,0,0,0,0,0
,NA,1330,2003,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0
,NA,1330,2004,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0
,NA,1330,2005,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
,NA,1330,2006,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
,NA,1350,1991,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
,NA,1350,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,1350,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1350,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1370,1991,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
,NA,1370,1992,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,NA,1370,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,1370,1996,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,NA,1370,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1370,2000,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
,NA,1370,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,1370,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1370,2003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,NA,1370,2004,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,NA,1370,2005,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
,NA,1370,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
