survey_year,stratum,survey_species,estimate,standard_error
1955,21,AGWT,3517,3731
1955,21,AMWI,14252,8931
1955,21,BUFF,11042,3467
1955,21,CAGO,13804,13804
1955,21,GOLD,8998,5319
1955,21,MALL,88536,16629
1955,21,MERG,18010,10589
1955,21,RNDU,70186,19825
1955,21,SCAU,51798,29263
1955,22,AGWT,15525,8093
1955,22,AMWI,32405,12062
1955,22,BUFF,5169,1831
1955,22,BWTE,13763,9041
1955,22,CAGO,1846,1846
1955,22,CANV,10383,5564
1955,22,GADW,1013,951
1955,22,GOLD,8425,4139
1955,22,MALL,171499,63375
1955,22,MERG,15941,5361
1955,22,NOPI,19556,10148
1955,22,NSHO,2330,2190
1955,22,REDH,5186,5135
1955,22,RNDU,6626,4368
1955,22,SCAU,149777,70849
1955,23,AGWT,22927,10607
1955,23,AMWI,9289,9194
1955,23,BUFF,14395,7184
1955,23,CAGO,2999,2999
1955,23,CANV,11947,6589
1955,23,GOLD,27371,15545
1955,23,MALL,150238,45943
1955,23,MERG,68361,29511
1955,23,NOPI,1444,1627
1955,23,NSHO,1893,2131
1955,23,REDH,11794,11916
1955,23,RNDU,20631,9420
1955,23,SCAU,181672,63873
1955,24,AGWT,10986,8058
1955,24,AMWI,49460,8502
1955,24,BUFF,15328,4476
1955,24,CAGO,52696,52696
1955,24,GOLD,12491,7156
1955,24,MALL,162101,27282
1955,24,MERG,57906,25542
1955,24,REDH,13456,14057
1955,24,RNDU,15760,6963
1955,24,SCAU,65912,26884
1955,25,AGWT,11742,6128
1955,25,AMWI,67036,11130
1955,25,BUFF,3909,2513
1955,25,BWTE,44236,15361
1955,25,CAGO,5585,5585
1955,25,CANV,43842,8309
1955,25,GADW,3831,1726
1955,25,GOLD,5461,4965
1955,25,MALL,125070,31208
1955,25,MERG,13985,10527
1955,25,NOPI,121679,80704
1955,25,NSHO,2644,488
1955,25,REDH,23926,4915
1955,25,RNDU,25057,16052
1955,26,AGWT,235764,47662
1955,26,AMCO,63382,10723
1955,26,AMWI,234416,24434
1955,26,BUFF,20981,4295
1955,26,BWTE,965628,124305
1955,26,CANV,74133,15986
1955,26,GADW,109527,17802
1955,26,GOLD,15016,5829
1955,26,MALL,1063652,56467
1955,26,NOPI,449884,43546
1955,26,NSHO,136440,15128
1955,26,POND,664698,31534
1955,26,REDH,78596,16453
1955,26,RNDU,1430,1438
1955,26,RUDU,40050,14917
1955,26,SCAU,209027,27998
1955,27,AGWT,55663,24991
1955,27,AMCO,24225,4950
1955,27,AMWI,146342,13386
1955,27,BUFF,1502,964
1955,27,BWTE,370553,71660
1955,27,CANV,6852,2388
1955,27,GADW,44762,4952
1955,27,MALL,349022,16548
1955,27,NOPI,378833,54061
1955,27,NSHO,127755,12962
1955,27,POND,256278,28321
1955,27,REDH,11381,3992
1955,27,RUDU,4386,1911
1955,27,SCAU,89619,14839
1955,28,AGWT,41413,19800
1955,28,AMCO,27897,6787
1955,28,AMWI,116906,16692
1955,28,BUFF,2318,939
1955,28,BWTE,188775,24023
1955,28,CANV,11329,3650
1955,28,GADW,28300,4229
1955,28,GOLD,980,668
1955,28,MALL,284700,24965
1955,28,NOPI,516868,56048
1955,28,NSHO,108655,13631
1955,28,POND,188752,25435
1955,28,REDH,25089,7363
1955,28,RUDU,21320,14113
1955,28,SCAU,94380,21205
1955,29,AGWT,18426,8939
1955,29,AMCO,25758,13170
1955,29,AMWI,84640,21519
1955,29,BUFF,1339,902
1955,29,BWTE,25282,7981
1955,29,CANV,3926,1944
1955,29,GADW,17730,6412
1955,29,MALL,209610,38499
1955,29,NOPI,245939,42805
1955,29,NSHO,24360,5616
1955,29,POND,157117,42725
1955,29,REDH,25438,13784
1955,29,RUDU,10424,8925
1955,29,SCAU,34215,13908
1955,30,AGWT,55889,11228
1955,30,AMCO,23751,6309
1955,30,AMWI,75411,14174
1955,30,BUFF,4773,3009
1955,30,BWTE,117367,14722
1955,30,CANV,68815,45662
1955,30,GADW,28045,9110
1955,30,GOLD,9759,8793
1955,30,MALL,442134,39917
1955,30,NOPI,490575,119231
1955,30,NSHO,73807,24004
1955,30,POND,525462,74877
1955,30,REDH,18272,10331
1955,30,RNDU,6816,3699
1955,30,RUDU,17113,7791
1955,30,SCAU,120222,56948
1955,31,AGWT,116346,53561
1955,31,AMCO,164454,64213
1955,31,AMWI,140604,61312
1955,31,BUFF,1626,1702
1955,31,BWTE,479488,240418
1955,31,CANV,97043,32456
1955,31,GADW,50793,22933
1955,31,MALL,761916,194486
1955,31,NOPI,803490,283970
1955,31,NSHO,122567,60311
1955,31,POND,844690,194440
1955,31,REDH,96766,41162
1955,31,RNDU,5321,3148
1955,31,RUDU,48375,22706
1955,31,SCAU,220786,90634
1955,32,AGWT,111231,25042
1955,32,AMCO,80752,17525
1955,32,AMWI,202190,30632
1955,32,BWTE,652380,81954
1955,32,CANV,56181,13414
1955,32,GADW,211435,42336
1955,32,GOLD,652,653
1955,32,MALL,1268395,110991
1955,32,NOPI,2661320,321437
1955,32,NSHO,290593,29592
1955,32,POND,958005,37533
1955,32,REDH,66433,20479
1955,32,RNDU,10478,5573
1955,32,RUDU,32748,12841
1955,32,SCAU,291171,82866
1955,33,AGWT,25039,5388
1955,33,AMCO,18477,8315
1955,33,AMWI,53985,12484
1955,33,BWTE,101056,31177
1955,33,CAGO,5578,5578
1955,33,CANV,2238,1440
1955,33,GADW,42406,9246
1955,33,MALL,271599,27963
1955,33,NOPI,760168,208990
1955,33,NSHO,66791,16124
1955,33,POND,213286,10963
1955,33,REDH,5894,3050
1955,33,RUDU,7264,3729
1955,33,SCAU,44270,11823
1955,34,AGWT,35075,11110
1955,34,AMCO,48942,10791
1955,34,AMWI,108035,39610
1955,34,BWTE,412690,61235
1955,34,CANV,27982,7991
1955,34,GADW,10358,2771
1955,34,MALL,392417,62755
1955,34,NOPI,198104,71291
1955,34,NSHO,55746,19307
1955,34,POND,1198551,143436
1955,34,REDH,20055,8890
1955,34,RNDU,3220,1611
1955,34,RUDU,17266,6298
1955,34,SCAU,82950,31270
1955,35,AGWT,16065,4903
1955,35,AMCO,24338,7182
1955,35,AMWI,40204,11017
1955,35,BUFF,1242,798
1955,35,BWTE,305526,88505
1955,35,CANV,13975,5551
1955,35,GADW,16011,4878
1955,35,GOLD,1400,1281
1955,35,MALL,180729,20734
1955,35,MERG,455,441
1955,35,NOPI,162837,21289
1955,35,NSHO,57569,15064
1955,35,POND,732851,54915
1955,35,REDH,8018,2259
1955,35,RNDU,1383,735
1955,35,RUDU,5931,2438
1955,35,SCAU,98897,36256
1955,36,BUFF,2349,3841
1955,36,GOLD,3974,7984
1955,36,MALL,16966,10841
1955,36,POND,69259,36743
1955,37,AGWT,12057,7049
1955,37,AMCO,7549,4461
1955,37,AMWI,46423,15089
1955,37,BUFF,8077,6522
1955,37,BWTE,169691,49477
1955,37,CANV,7163,2689
1955,37,GADW,10682,7580
1955,37,GOLD,6306,3393
1955,37,MALL,202092,39549
1955,37,NOPI,103610,70853
1955,37,NSHO,23651,8825
1955,37,POND,729650,74606
1955,37,REDH,16047,10761
1955,37,RUDU,3561,1560
1955,37,SCAU,51191,26664
1955,38,AGWT,2930,3347
1955,38,AMCO,262,262
1955,38,AMWI,3008,2274
1955,38,BWTE,22288,13560
1955,38,MALL,16043,2784
1955,38,NOPI,18439,6493
1955,38,NSHO,1768,772
1955,38,POND,93203,19968
1955,39,AGWT,5200,2172
1955,39,AMCO,3876,1039
1955,39,AMWI,17352,4458
1955,39,BUFF,536,518
1955,39,BWTE,162521,20673
1955,39,CANV,9930,3123
1955,39,GADW,8830,3137
1955,39,GOLD,1209,664
1955,39,MALL,80860,10650
